mapping_id	document_id	source_id	service_scope	symptom_family	mapping_basis	review_state	is_gold_qrel	relevance_grade	version_compatibility
MAP-0020	KB-D057-da18896de895	D057	application_wide	application_architecture_or_rpc_contract	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0021	KB-D057-da53c9e679f7	D057	checkoutservice	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0022	KB-D057-e84a682ff5d9	D057	paymentservice	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0023	KB-D057-f4bcce2e6d7e	D057	application_wide	application_architecture_or_rpc_contract	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0024	KB-D057-fda19af7a97a	D057	currencyservice	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0025	KB-D058-1288140b93d4	D058	platform_generic	metrics_collection_or_alert_config	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0026	KB-D058-14d8b6f74be5	D058	platform_generic	metrics_collection_or_alert_config	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0027	KB-D058-22bb04d72ccf	D058	platform_generic	network_dns_or_service_unreachable	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0028	KB-D058-4067ea9b384b	D058	platform_generic	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0029	KB-D058-54c2092d43a5	D058	platform_generic	network_dns_or_service_unreachable	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0030	KB-D058-57df42feca96	D058	platform_generic	memory_pressure_or_oom	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0031	KB-D058-57df42feca96	D058	platform_generic	pod_crash_restart_or_not_ready	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0032	KB-D058-6346769f861a	D058	platform_generic	node_health	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0033	KB-D058-6346769f861a	D058	platform_generic	metrics_collection_or_alert_config	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0034	KB-D058-714196198a9c	D058	platform_generic	pod_crash_restart_or_not_ready	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0035	KB-D058-7f4c1beb746e	D058	platform_generic	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0036	KB-D058-8f1d50e206b1	D058	platform_generic	pod_crash_restart_or_not_ready	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0037	KB-D058-94f18a70ecb0	D058	platform_generic	cpu_pressure_or_throttling	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0038	KB-D058-94f18a70ecb0	D058	platform_generic	memory_pressure_or_oom	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0039	KB-D058-aaa3e891815f	D058	platform_generic	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0040	KB-D058-ac5d7aedb7e6	D058	platform_generic	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0041	KB-D058-c2749095504f	D058	platform_generic	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0042	KB-D059-0185ccfaeb29	D059	platform_generic	node_health	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0043	KB-D059-0980a5088584	D059	platform_generic	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0044	KB-D059-0d787d431d0c	D059	platform_generic	pod_crash_restart_or_not_ready	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0045	KB-D059-100adba8ab53	D059	platform_generic	node_health	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0046	KB-D059-1e35988462b6	D059	platform_generic	cpu_pressure_or_throttling	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0047	KB-D059-2f773ad62c4d	D059	platform_generic	storage_or_filesystem_pressure	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0048	KB-D059-320e57f48715	D059	platform_generic	network_dns_or_service_unreachable	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0049	KB-D059-320e57f48715	D059	platform_generic	node_health	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0050	KB-D059-40feb3b71482	D059	platform_generic	metrics_collection_or_alert_config	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0051	KB-D059-44306ba7be54	D059	platform_generic	node_health	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0052	KB-D059-4bb889d6dca3	D059	platform_generic	metrics_collection_or_alert_config	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0053	KB-D059-545ab1351883	D059	platform_generic	storage_or_filesystem_pressure	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0054	KB-D059-55680d49eefb	D059	platform_generic	metrics_collection_or_alert_config	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0055	KB-D059-5b2f1ba3a5d0	D059	platform_generic	network_dns_or_service_unreachable	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0056	KB-D059-5b2f1ba3a5d0	D059	platform_generic	node_health	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0057	KB-D059-6c2b859da0cb	D059	platform_generic	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0058	KB-D059-7f69273da4ee	D059	platform_generic	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0059	KB-D059-880cd100599f	D059	platform_generic	metrics_collection_or_alert_config	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0060	KB-D059-8d06231c2525	D059	platform_generic	network_dns_or_service_unreachable	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0061	KB-D059-90ee8fc78d14	D059	platform_generic	metrics_collection_or_alert_config	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0062	KB-D059-91688933d572	D059	platform_generic	network_dns_or_service_unreachable	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0063	KB-D059-91688933d572	D059	platform_generic	node_health	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0064	KB-D059-91bc8b32682b	D059	platform_generic	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0065	KB-D059-9bcf2fdf8ee8	D059	platform_generic	memory_pressure_or_oom	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0066	KB-D059-ab767794153c	D059	platform_generic	pod_crash_restart_or_not_ready	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0067	KB-D059-b0277ce1f225	D059	platform_generic	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0068	KB-D059-b32d4a918814	D059	platform_generic	network_dns_or_service_unreachable	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0069	KB-D059-b32d4a918814	D059	platform_generic	node_health	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0070	KB-D059-b8a720c3525a	D059	platform_generic	node_health	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0071	KB-D059-bcfb01413ab2	D059	platform_generic	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0072	KB-D059-c0ae2fc5e6c0	D059	platform_generic	node_health	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0073	KB-D059-c0ae2fc5e6c0	D059	platform_generic	storage_or_filesystem_pressure	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0074	KB-D059-c21de076814a	D059	platform_generic	cpu_pressure_or_throttling	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0075	KB-D059-c5fd7b512fcf	D059	platform_generic	metrics_collection_or_alert_config	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0076	KB-D059-ce4a883f97c6	D059	platform_generic	metrics_collection_or_alert_config	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0077	KB-D059-db6bc0dfb97f	D059	platform_generic	node_health	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0078	KB-D059-dc1287ef31f0	D059	platform_generic	memory_pressure_or_oom	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0079	KB-D059-de70fffe8993	D059	platform_generic	node_health	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0080	KB-D059-de70fffe8993	D059	platform_generic	storage_or_filesystem_pressure	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0081	KB-D059-e0f954f2a2b6	D059	platform_generic	metrics_collection_or_alert_config	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0082	KB-D059-f471acd3d532	D059	platform_generic	node_health	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
