paper_id_or_gap_id	publication_type	peer_review_status	venue_exact	issn	venue_family	venue_rank_scheme	venue_rank_value	venue_rank_year	rank_evidence_id	crossref_type	notes
P0045	proceedings-article	peer_reviewed	Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0046	proceedings-article	peer_reviewed	Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0047	proceedings-article	peer_reviewed	Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering: Software Engineering in Practice		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0048	proceedings-article	peer_reviewed	Proceedings of the Workshop on Hot Topics in Operating Systems		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0049	proceedings-article	peer_reviewed	2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0050	proceedings-article	peer_reviewed	2019 IEEE/ACM 41st International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0051	proceedings-article	peer_reviewed	The World Wide Web Conference							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0052	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0053	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0054	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0055	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0056	proceedings-article	peer_reviewed	2025 IEEE 36th International Symposium on Software Reliability Engineering (ISSRE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0057	proceedings-article	peer_reviewed	Proceedings of the 22nd ACM Workshop on Hot Topics in Networks		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0058	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0059	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0060	proceedings-article	peer_reviewed	21st USENIX Symposium on Networked Systems Design and Implementation (NSDI 24)								catalog evidence; primary_page_citation_tags
P0062	proceedings-article	peer_reviewed	Proceedings 2026 Network and Distributed System Security Symposium							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0063	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0064	proceedings-article	peer_reviewed	2024 IEEE 35th International Symposium on Software Reliability Engineering (ISSRE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0065	proceedings-article	peer_reviewed	Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0066	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0067	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0068	proceedings-article	peer_reviewed	Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0069	proceedings-article	peer_reviewed	Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0070	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0071	proceedings-article	peer_reviewed	Proceedings of the 33rd ACM International Conference on Information and Knowledge Management		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0072	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0073	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0074	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0075	proceedings-article	peer_reviewed	International Conference on Learning Representations (ICLR 2025), Poster							proceedings-article	catalog evidence; manual_primary_metadata_review
P0076	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0077	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0078	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0079	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0080	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0081	proceedings-article	peer_reviewed	2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0082	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0083	journal-article	peer_reviewed	Proceedings of the AAAI Conference on Artificial Intelligence		conference_journal_series					journal-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0084	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0085	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0086	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0087	proceedings-article	peer_reviewed	Companion of the 17th ACM/SPEC International Conference on Performance Engineering							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0088	journal-article	peer_reviewed	Complex &amp; Intelligent Systems			sjr	Q1	2024	SJR2024-CIS	journal-article	catalog evidence; publisher_deposited_crossref_metadata
P0090	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0091	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0092	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0093	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0094	proceedings-article	peer_reviewed	Proceedings of the 2026 IEEE/ACM 48th International Conference on Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0096	proceedings-article	peer_reviewed	Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0097	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0098	proceedings-article	peer_reviewed	Advances in Neural Information Processing Systems 38							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0099	proceedings-article	peer_reviewed	Proceedings of the 46th International Conference on Software Engineering: Software Engineering in Practice		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0100	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0101	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0102	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0103	proceedings-article	peer_reviewed	2024 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0104	proceedings-article	peer_reviewed	2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0105	proceedings-article	peer_reviewed	2025 55th Annual IEEE/IFIP International Conference on Dependable Systems and Networks - Supplemental Volume (DSN-S)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0106	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0107	proceedings-article	peer_reviewed	Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0108	proceedings-article	peer_reviewed	Proceedings of the IEEE/ACM 46th International Conference on Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0109	proceedings-article	peer_reviewed	Proceedings of the IEEE/ACM 46th International Conference on Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0110	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0111	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0112	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0113	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0114	proceedings-article	peer_reviewed	2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0115	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0116	journal-article	peer_reviewed	Proceedings of the AAAI Conference on Artificial Intelligence		conference_journal_series					journal-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0117	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0118	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0119	proceedings-article	peer_reviewed	2024 IEEE 35th International Symposium on Software Reliability Engineering (ISSRE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0120	proceedings-article	peer_reviewed	2024 IEEE World Forum on Public Safety Technology (WFPST)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0121	journal-article	peer_reviewed	ACM Transactions on Software Engineering and Methodology	1049-331X		sjr	Q1	2024	SJR2024-TOSEM	journal-article	catalog evidence; publisher_deposited_crossref_metadata
P0122	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0123	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0124	proceedings-article	peer_reviewed	Proceedings of the IEEE/ACM 46th International Conference on Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0125	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0126	proceedings-article	peer_reviewed	Proceedings of the 28th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 4		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0127	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0128	proceedings-article	peer_reviewed	2023 IEEE/ACM 45th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0129	proceedings-article	peer_reviewed	Proceedings of the ACM Web Conference 2023		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0130	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0131	proceedings-article	peer_reviewed	2022 IEEE 15th International Conference on Cloud Computing (CLOUD)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0132	proceedings-article	peer_reviewed	2022 52nd Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0133	proceedings-article	peer_reviewed	Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0134	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0135	proceedings-article	peer_reviewed	2021 IEEE/ACM International Workshop on Cloud Intelligence (CloudIntelligence)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0136	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0137	proceedings-article	peer_reviewed	2021 IEEE 32nd International Symposium on Software Reliability Engineering (ISSRE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0138	proceedings-article	peer_reviewed	Proceedings of the 35th IEEE/ACM International Conference on Automated Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0139	journal-article	peer_reviewed	Proceedings of the VLDB Endowment		conference_journal_series					journal-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0140	proceedings-article	peer_reviewed	2020 IEEE/ACM 28th International Symposium on Quality of Service (IWQoS)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0141	proceedings-article	peer_reviewed	NOMS 2020 - 2020 IEEE/IFIP Network Operations and Management Symposium							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0142	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0143	proceedings-article	peer_reviewed	The World Wide Web Conference							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0144	book-chapter	peer_reviewed	Lecture Notes in Computer Science; Service-Oriented Computing							book-chapter	catalog evidence; publisher_deposited_crossref_metadata
P0145	proceedings-article	peer_reviewed	13th USENIX Symposium on Operating Systems Design and Implementation (OSDI 18)								catalog evidence; primary_page_citation_tags
P0146	proceedings-article	peer_reviewed	11th USENIX Symposium on Networked Systems Design and Implementation (NSDI 14)								catalog evidence; primary_page_citation_tags
P0147	proceedings-article	peer_reviewed	Proceedings of the 38th International Conference on Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0148	proceedings-article	peer_reviewed	Proceedings of the 30th ACM SIGSOFT International Symposium on Software Testing and Analysis		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0149	proceedings-article	peer_reviewed	Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering: Software Engineering in Practice		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0150	proceedings-article	peer_reviewed	2019 IEEE/ACM 41st International Conference on Software Engineering (ICSE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0151	proceedings-article	peer_reviewed	Proceedings of the 14th ACM / IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0152	proceedings-article	peer_reviewed	2014 IEEE International Conference on Cluster Computing (CLUSTER)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0153	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0154	proceedings-article	peer_reviewed	2023 Design, Automation &amp; Test in Europe Conference &amp; Exhibition (DATE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0155	proceedings-article	peer_reviewed	2022 IEEE 15th International Conference on Cloud Computing (CLOUD)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0156	book-chapter	peer_reviewed	Lecture Notes in Computer Science; Service-Oriented Computing							book-chapter	catalog evidence; publisher_deposited_crossref_metadata
P0157	journal-article	peer_reviewed	Empirical Software Engineering	1382-3256		sjr	Q1	2024	SJR2024-EMSE	journal-article	catalog evidence; publisher_deposited_crossref_metadata
P0158	proceedings-article	peer_reviewed	2021 IEEE/ACM 29th International Symposium on Quality of Service (IWQOS)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0159	proceedings-article	peer_reviewed	2021 USENIX Annual Technical Conference (USENIX ATC 21)								catalog evidence; primary_page_citation_tags
P0160	proceedings-article	peer_reviewed	Proceedings of the Web Conference 2021		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0161	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0162	journal-article	peer_reviewed	Journal of Software: Evolution and Process							journal-article	catalog evidence; publisher_deposited_crossref_metadata; no tracked SJR 2024 row; rank unclaimed
P0163	proceedings-article	peer_reviewed	2021 IEEE/ACM 21st International Symposium on Cluster, Cloud and Internet Computing (CCGrid)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0164	proceedings-article	peer_reviewed	Proceedings of the 27th ACM Symposium on Operating Systems Principles		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0165	journal-article	peer_reviewed	ACM SIGPLAN Notices		conference_journal_series					journal-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0166	proceedings-article	peer_reviewed	2018 USENIX Annual Technical Conference (USENIX ATC 18)								catalog evidence; primary_page_citation_tags
P0167	journal-article	peer_reviewed	IEEE Transactions on Parallel and Distributed Systems	1045-9219		sjr	Q1	2024	SJR2024-TPDS	journal-article	catalog evidence; publisher_deposited_crossref_metadata
P0168	proceedings-article	peer_reviewed	11th USENIX Symposium on Operating Systems Design and Implementation (OSDI 14)								catalog evidence; primary_page_citation_tags
P0169	proceedings-article	peer_reviewed	Proceedings of the Sixth USENIX Symposium on Operating Systems Design and Implementation (OSDI) 2004		conference_journal_series						catalog evidence; primary_page_citation_tags; conference journal series; excluded from SJR Q1
P0171	proceedings-article	peer_reviewed	The International Conference on Dependable Systems and Networks (IPDS Track)								catalog evidence; primary_page_citation_tags
P0172	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0173	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0174	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0175	book-chapter	peer_reviewed	Lecture Notes in Computer Science; Case-Based Reasoning Research and Development							book-chapter	catalog evidence; publisher_deposited_crossref_metadata
P0176	journal-article	peer_reviewed	IEEE Transactions on Software Engineering	0098-5589		sjr	Q1	2024	SJR2024-TSE	journal-article	catalog evidence; publisher_deposited_crossref_metadata
P0177	proceedings-article	peer_reviewed	Proceedings of the 44th International Conference on Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
