paper_id	title	reference_title	authors	preprint_year	publication_year	venue	arxiv_id	publication_doi	canonical_url	reference_url	metadata_source_url	publication_metadata_url	identity_status	acquisition_status	read_depth	fulltext_local_available	priority_reading
P0011	Recommending Root-Cause and Mitigation Steps for Cloud Incidents using Large Language Models	Recommending Root-Cause and Mitigation Steps for Cloud Incidents using Large Language Models	Toufique Ahmed; Supriyo Ghosh; Chetan Bansal; Thomas Zimmermann; Xuchao Zhang; Saravan Rajmohan	2023	2023	2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE)	2301.03797	10.1109/icse48619.2023.00149	https://arxiv.org/abs/2301.03797	https://doi.org/10.1109/icse48619.2023.00149	https://api.datacite.org/dois/10.48550/arxiv.2301.03797	https://api.crossref.org/works/10.1109%2Ficse48619.2023.00149	matched	ok	fulltext_selected_sections	True	True
P0012	A System-Wide Debugging Assistant Powered by Natural Language Processing	A System-Wide Debugging Assistant Powered by Natural Language Processing	Pradeep Dogga; Karthik Narasimhan; Anirudh Sivaraman; Ravi Netravali		2019	Proceedings of the ACM Symposium on Cloud Computing		10.1145/3357223.3362701	https://doi.org/10.1145/3357223.3362701	https://doi.org/10.1145/3357223.3362701	https://api.crossref.org/works/10.1145%2F3357223.3362701		matched	200	metadata_only	False	False
P0013	Mining Root Cause Knowledge from Cloud Service Incident Investigations for AIOps	Mining root cause knowledge from cloud service incident investigations for AIOps	Amrita Saha; Steven C. H. Hoi	2022	2022	Proceedings of the 44th International Conference on Software Engineering: Software Engineering in Practice	2204.11598	10.1145/3510457.3513030	https://arxiv.org/abs/2204.11598	https://doi.org/10.1145/3510457.3513030	https://api.datacite.org/dois/10.48550/arxiv.2204.11598	https://api.crossref.org/works/10.1145%2F3510457.3513030	matched	ok	fulltext_selected_sections	True	True
P0014	Neural knowledge extraction from cloud service incidents	Neural Knowledge Extraction From Cloud Service Incidents	Manish Shetty; Chetan Bansal; Sumit Kumar; Nikitha Rao; Nachiappan Nagappan; Thomas Zimmermann		2021	2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP)		10.1109/icse-seip52600.2021.00031	https://doi.org/10.1109/ICSE-SEIP52600.2021.00031	https://doi.org/10.1109/icse-seip52600.2021.00031	https://api.crossref.org/works/10.1109%2Ficse-seip52600.2021.00031		matched	200	metadata_only	False	False
P0015	SoftNER: Mining Knowledge Graphs From Cloud Incidents	SoftNER: Mining Knowledge Graphs From Cloud Incidents	Shetty, Manish; Bansal, Chetan; Kumar, Sumit; Rao, Nikitha; Nagappan, Nachiappan	2021			2101.05961		https://arxiv.org/abs/2101.05961	https://arxiv.org/abs/2101.05961	https://api.datacite.org/dois/10.48550/arxiv.2101.05961		matched	ok	abstract_available_not_read	False	False
P0016	A Causality Mining and Knowledge Graph Based Method of Root Cause Diagnosis for Performance Anomaly in Cloud Applications	A Causality Mining and Knowledge Graph Based Method of Root Cause Diagnosis for Performance Anomaly in Cloud Applications	Juan Qiu; Qingfeng Du; Kanglin Yin; Shuang-Li Zhang; Chongshu Qian		2020	Applied Sciences		10.3390/app10062166	https://www.mdpi.com/2076-3417/10/6/2166	https://doi.org/10.3390/app10062166	https://api.crossref.org/works/10.3390%2Fapp10062166		matched	rescued_primary_metadata	metadata_only	False	False
P0017	Sage: Practical & Scalable ML-Driven Performance Debugging in Microservices	Sage: practical and scalable ML-driven performance debugging in microservices	Yu Gan; Mingyu Liang; Sundar Dev; David Lo; Christina Delimitrou		2021	Proceedings of the 26th ACM International Conference on Architectural Support for Programming Languages and Operating Systems		10.1145/3445814.3446700	https://doi.org/10.1145/3445814.3446700	https://doi.org/10.1145/3445814.3446700	https://api.crossref.org/works/10.1145%2F3445814.3446700		matched	200	metadata_only	False	False
P0018	Graph-based trace analysis for microservice architecture understanding and problem diagnosis	Graph-based trace analysis for microservice architecture understanding and problem diagnosis	Xiaofeng Guo; Xin Peng; Hanzhang Wang; Wanxue Li; Huai Jiang; Dan Ding; Tao Xie; Liangfei Su		2020	Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering		10.1145/3368089.3417066	https://doi.org/10.1145/3368089.3417066	https://doi.org/10.1145/3368089.3417066	https://api.crossref.org/works/10.1145%2F3368089.3417066		matched	200	metadata_only	False	False
P0019	FIRM: An Intelligent Fine-grained Resource Management Framework for SLO-Oriented Microservices	{FIRM}: An Intelligent Fine-grained Resource Management Framework for {SLO-Oriented} Microservices	Haoran Qiu; Subho S. Banerjee; Saurabh Jha; Zbigniew T. Kalbarczyk; Ravishankar K. Iyer		2020	14th USENIX Symposium on Operating Systems Design and Implementation (OSDI 20)			https://www.usenix.org/conference/osdi20/presentation/qiu	https://www.usenix.org/conference/osdi20/presentation/qiu	https://www.usenix.org/conference/osdi20/presentation/qiu		matched	200	metadata_only	False	False
P0020	Latent Error Prediction and Fault Localization for Microservice Applications by Learning from System Trace Logs	Latent error prediction and fault localization for microservice applications by learning from system trace logs	Xiang Zhou; Xin Peng; Tao Xie; Jun Sun; Chao Ji; Dewei Liu; Qilin Xiang; Chuan He		2019	Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering		10.1145/3338906.3338961	https://doi.org/10.1145/3338906.3338961	https://doi.org/10.1145/3338906.3338961	https://api.crossref.org/works/10.1145%2F3338906.3338961		matched	200	metadata_only	False	False
P0021	Fault Analysis and Debugging of Microservice Systems: Industrial Survey, Benchmark System, and Empirical Study	Fault Analysis and Debugging of Microservice Systems: Industrial Survey, Benchmark System, and Empirical Study	Xiang Zhou; Xin Peng; Tao Xie; Jun Sun; Chao Ji; Wenhai Li; Dan Ding		2021	IEEE Transactions on Software Engineering		10.1109/tse.2018.2887384	https://ieeexplore.ieee.org/document/8580420/	https://doi.org/10.1109/tse.2018.2887384	https://api.crossref.org/works/10.1109%2Ftse.2018.2887384		matched	rescued_primary_metadata	metadata_only	False	False
P0022	AID: Efficient Prediction of Aggregated Intensity of Dependency in Large-scale Cloud Systems	AID: Efficient Prediction of Aggregated Intensity of Dependency in Large-scale Cloud Systems	Yang, Tianyi; Shen, Jiacheng; Su, Yuxin; Ling, Xiao; Yang, Yongqiang; Lyu, Michael R.	2021			2109.04893		https://arxiv.org/abs/2109.04893	https://arxiv.org/abs/2109.04893	https://api.datacite.org/dois/10.48550/arxiv.2109.04893		matched	ok	abstract_available_not_read	False	False
P0023	X-Trace: A Pervasive Network Tracing Framework	{X-Trace}: A Pervasive Network Tracing Framework 	Rodrigo Fonseca; George Porter; Randy H. Katz; Scott Shenker		2007	4th USENIX Symposium on Networked Systems Design & Implementation (NSDI 07)			https://www.usenix.org/conference/nsdi-07/x-trace-pervasive-network-tracing-framework	https://www.usenix.org/conference/nsdi-07/x-trace-pervasive-network-tracing-framework	https://www.usenix.org/conference/nsdi-07/x-trace-pervasive-network-tracing-framework		matched	200	metadata_only	False	False
P0024	Discovering Dependencies for Network Management	Discovering Dependencies for Network Management	Victor Bahl; Paul Barham; Richard Black; Ranveer Chandra; Moises Goldszmidt; Rebecca Isaacs; Srikanth Kandula; Lun Li; John MacCormick; Dave Maltz; Richard Mortier; Mike Wawrzoniak; Ming Zhang		2006	Workshop on Hot Topics in Networks (HotNets-V)			https://www.microsoft.com/en-us/research/wp-content/uploads/2006/11/hotnets06.pdf	https://www.microsoft.com/en-us/research/wp-content/uploads/2006/11/hotnets06.pdf	https://www.microsoft.com/en-us/research/publication/discovering-dependencies-for-network-management/		matched	rescued_primary_metadata	metadata_only	False	False
P0025	The Tale of Errors in Microservices	The Tale of Errors in Microservices	I-Ting Angelina Lee; Zhizhou Zhang; Abhishek Parwal; Milind Chabbi		2024	Proceedings of the ACM on Measurement and Analysis of Computing Systems		10.1145/3700436	https://doi.org/10.1145/3700436	https://doi.org/10.1145/3700436	https://api.crossref.org/works/10.1145%2F3700436		matched	200	abstract_available_not_read	False	False
P0026	Share or Not Share? Towards the Practicability of Deep Models for Unsupervised Anomaly Detection in Modern Online Systems	Share or Not Share? Towards the Practicability of Deep Models for Unsupervised Anomaly Detection in Modern Online Systems	Zilong He; Pengfei Chen; Tao Huang		2022	2022 IEEE 33rd International Symposium on Software Reliability Engineering (ISSRE)		10.1109/issre55969.2022.00014	https://ieeexplore.ieee.org/document/9978953	https://doi.org/10.1109/issre55969.2022.00014	https://api.crossref.org/works/10.1109%2Fissre55969.2022.00014		matched	rescued_primary_metadata	metadata_only	False	False
P0027	Adaptive Performance Anomaly Detection for Online Service Systems via Pattern Sketching	Adaptive Performance Anomaly Detection for Online Service Systems via Pattern Sketching	Chen, Zhuangbin; Liu, Jinyang; Su, Yuxin; Zhang, Hongyu; Ling, Xiao; Yang, Yongqiang; Lyu, Michael R.	2022			2201.02944		https://arxiv.org/abs/2201.02944	https://arxiv.org/abs/2201.02944	https://api.datacite.org/dois/10.48550/arxiv.2201.02944		matched	ok	abstract_available_not_read	False	False
P0028	Time-Series Anomaly Detection Service at Microsoft	Time-Series Anomaly Detection Service at Microsoft	Hansheng Ren; Bixiong Xu; Yujing Wang; Chao Yi; Congrui Huang; Xiaoyu Kou; Tony Xing; Mao Yang; Jie Tong; Qi Zhang		2019	Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining		10.1145/3292500.3330680	https://doi.org/10.1145/3292500.3330680	https://doi.org/10.1145/3292500.3330680	https://api.crossref.org/works/10.1145%2F3292500.3330680		matched	200	metadata_only	False	False
P0029	Identifying Impactful Service System Problems via Log Analysis	Identifying impactful service system problems via log analysis	Shilin He; Qingwei Lin; Jian-Guang Lou; Hongyu Zhang; Michael R. Lyu; Dongmei Zhang		2018	Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering		10.1145/3236024.3236083	https://doi.org/10.1145/3236024.3236083	https://doi.org/10.1145/3236024.3236083	https://api.crossref.org/works/10.1145%2F3236024.3236083		matched	200	metadata_only	False	False
P0030	DeepLog: Anomaly Detection and Diagnosis from System Logs through Deep Learning	DeepLog: Anomaly Detection and Diagnosis from System Logs through Deep Learning	Min Du; Feifei Li; Guineng Zheng; Vivek Srikumar		2017	Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security		10.1145/3133956.3134015	https://doi.org/10.1145/3133956.3134015	https://doi.org/10.1145/3133956.3134015	https://api.crossref.org/works/10.1145%2F3133956.3134015		matched	200	metadata_only	False	False
P0031	Murphy: Performance Diagnosis of Distributed Cloud Applications	Murphy: Performance Diagnosis of Distributed Cloud Applications	Vipul Harsh; Wenxuan Zhou; Sachin Ashok; Radhika Niranjan Mysore; Brighten Godfrey; Sujata Banerjee		2023	Proceedings of the ACM SIGCOMM 2023 Conference		10.1145/3603269.3604877	https://doi.org/10.1145/3603269.3604877	https://doi.org/10.1145/3603269.3604877	https://api.crossref.org/works/10.1145%2F3603269.3604877		matched	200	metadata_only	False	False
P0032	Nezha: Interpretable Fine-Grained Root Causes Analysis for Microservices on Multi-modal Observability Data	Nezha: Interpretable Fine-Grained Root Causes Analysis for Microservices on Multi-modal Observability Data	Guangba Yu; Pengfei Chen; Yufeng Li; Hongyang Chen; Xiaoyun Li; Zibin Zheng		2023	Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering		10.1145/3611643.3616249	https://doi.org/10.1145/3611643.3616249	https://doi.org/10.1145/3611643.3616249	https://api.crossref.org/works/10.1145%2F3611643.3616249		matched	200	metadata_only	False	False
P0033	Capturing and Enhancing In Situ System Observability for Failure Detection	Capturing and Enhancing In Situ System Observability for Failure Detection	Peng Huang; Chuanxiong Guo; Jacob R. Lorch; Lidong Zhou; Yingnong Dang		2018	13th USENIX Symposium on Operating Systems Design and Implementation (OSDI 18)			https://www.usenix.org/conference/osdi18/presentation/huang	https://www.usenix.org/conference/osdi18/presentation/huang	https://www.usenix.org/conference/osdi18/presentation/huang		matched	rescued_primary_metadata	metadata_only	False	False
P0034	AutoARTS: Taxonomy, Insights and Tools for Root Cause Labelling of Incidents in Microsoft Azure	{AutoARTS}: Taxonomy, Insights and Tools for Root Cause Labelling of Incidents in Microsoft Azure	Pradeep Dogga; Chetan Bansal; Richard Costleigh; Gopinath Jayagopal; Suman Nath; Xuchao Zhang		2023	2023 USENIX Annual Technical Conference (USENIX ATC 23)			https://www.usenix.org/conference/atc23/presentation/dogga	https://www.usenix.org/conference/atc23/presentation/dogga	https://www.usenix.org/conference/atc23/presentation/dogga		matched	200	metadata_only	False	False
P0035	Incident-aware Duplicate Ticket Aggregation for Cloud Systems	Incident-aware Duplicate Ticket Aggregation for Cloud Systems	Jinyang Liu; Shilin He; Zhuangbin Chen; Liqun Li; Yu Kang; Xu Zhang; Pinjia He; Hongyu Zhang; Qingwei Lin; Zhangwei Xu; Saravan Rajmohan; Dongmei Zhang; Michael R. Lyu	2023	2023	2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE)	2302.09520	10.1109/icse48619.2023.00193	https://arxiv.org/abs/2302.09520	https://doi.org/10.1109/icse48619.2023.00193	https://api.datacite.org/dois/10.48550/arxiv.2302.09520	https://api.crossref.org/works/10.1109%2Ficse48619.2023.00193	matched	ok	fulltext_selected_sections	True	True
P0036	How to Fight Production Incidents? An Empirical Study on a Large-scale Cloud Service	How to fight production incidents?: an empirical study on a large-scale cloud service	Supriyo Ghosh; Manish Shetty; Chetan Bansal; Suman Nath		2022	Proceedings of the 13th Symposium on Cloud Computing		10.1145/3542929.3563482	https://doi.org/10.1145/3542929.3563482	https://doi.org/10.1145/3542929.3563482	https://api.crossref.org/works/10.1145%2F3542929.3563482		matched	200	metadata_only	False	False
P0037	Characterizing and Mitigating Anti-patterns of Alerts in Industrial Cloud Systems	Characterizing and Mitigating Anti-patterns of Alerts in Industrial Cloud Systems	Yang, Tianyi; Shen, Jiacheng; Su, Yuxin; Ren, Xiaoxue; Yang, Yongqiang; Lyu, Michael R.	2022			2204.09670		https://arxiv.org/abs/2204.09670	https://arxiv.org/abs/2204.09670	https://api.datacite.org/dois/10.48550/arxiv.2204.09670		matched	ok	abstract_available_not_read	False	False
P0038	Fighting the Fog of War: Automated Incident Detection for Cloud Systems	Fighting the Fog of War: Automated Incident Detection for Cloud Systems	Liqun Li; Xu Zhang; Xin Zhao; Hongyu Zhang; Yu Kang; Pu Zhao; Bo Qiao; Shilin He; Pochian Lee; Jeffrey Sun; Feng Gao; Li Yang; Qingwei Lin; Saravanakumar Rajmohan; Zhangwei Xu; Dongmei Zhang		2021	2021 USENIX Annual Technical Conference (USENIX ATC 21)			https://www.usenix.org/conference/atc21/presentation/li-liqun	https://www.usenix.org/conference/atc21/presentation/li-liqun	https://www.usenix.org/conference/atc21/presentation/li-liqun		matched	200	metadata_only	False	False
P0039	Graph-based Incident Aggregation for Large-Scale Online Service Systems	Graph-based Incident Aggregation for Large-Scale Online Service Systems	Chen, Zhuangbin; Liu, Jinyang; Su, Yuxin; Zhang, Hongyu; Wen, Xuemin; Ling, Xiao; Yang, Yongqiang; Lyu, Michael R.	2021			2108.12179		https://arxiv.org/abs/2108.12179	https://arxiv.org/abs/2108.12179	https://api.datacite.org/dois/10.48550/arxiv.2108.12179		matched	ok	abstract_available_not_read	False	False
P0040	Groot: An Event-graph-based Approach for Root Cause Analysis in Industrial Settings	Groot: An Event-graph-based Approach for Root Cause Analysis in Industrial Settings	Wang, Hanzhang; Wu, Zhengkai; Jiang, Huai; Huang, Yichao; Wang, Jiamu; Kopru, Selcuk; Xie, Tao	2021			2108.00344		https://arxiv.org/abs/2108.00344	https://arxiv.org/abs/2108.00344	https://api.datacite.org/dois/10.48550/arxiv.2108.00344		matched	ok	abstract_available_not_read	False	False
P0041	Scouts: Improving the Diagnosis Process Through Domain-customized Incident Routing	Scouts: Improving the Diagnosis Process Through Domain-customized Incident Routing	Jiaqi Gao; Nofel Yaseen; Robert MacDavid; Felipe Vieira Frujeri; Vincent Liu; Ricardo Bianchini; Ramaswamy Aditya; Xiaohang Wang; Henry Lee; David Maltz; Minlan Yu; Behnaz Arzani		2020	Proceedings of the Annual conference of the ACM Special Interest Group on Data Communication on the applications, technologies, architectures, and protocols for computer communication		10.1145/3387514.3405867	https://doi.org/10.1145/3387514.3405867	https://doi.org/10.1145/3387514.3405867	https://api.crossref.org/works/10.1145%2F3387514.3405867		matched	200	metadata_only	False	False
P0042	How Incidental are the Incidents?: Characterizing and Prioritizing Incidents for Large-Scale Online Service Systems	How incidental are the incidents?: characterizing and prioritizing incidents for large-scale online service systems	Junjie Chen; Shu Zhang; Xiaoting He; Qingwei Lin; Hongyu Zhang; Dan Hao; Yu Kang; Feng Gao; Zhangwei Xu; Yingnong Dang; Dongmei Zhang		2020	Proceedings of the 35th IEEE/ACM International Conference on Automated Software Engineering		10.1145/3324884.3416624	https://doi.org/10.1145/3324884.3416624	https://doi.org/10.1145/3324884.3416624	https://api.crossref.org/works/10.1145%2F3324884.3416624		matched	200	metadata_only	False	False
P0043	Identifying linked incidents in large-scale online service systems	Identifying linked incidents in large-scale online service systems	Yujun Chen; Xian Yang; Hang Dong; Xiaoting He; Hongyu Zhang; Qingwei Lin; Junjie Chen; Pu Zhao; Yu Kang; Feng Gao; Zhangwei Xu; Dongmei Zhang		2020	Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering		10.1145/3368089.3409768	https://doi.org/10.1145/3368089.3409768	https://doi.org/10.1145/3368089.3409768	https://api.crossref.org/works/10.1145%2F3368089.3409768		matched	200	metadata_only	False	False
P0044	Efficient incident identification from multi-dimensional issue reports via meta-heuristic search	Efficient incident identification from multi-dimensional issue reports via meta-heuristic search	Jiazhen Gu; Chuan Luo; Si Qin; Bo Qiao; Qingwei Lin; Hongyu Zhang; Ze Li; Yingnong Dang; Shaowei Cai; Wei Wu; Yangfan Zhou; Murali Chintalapati; Dongmei Zhang		2020	Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering		10.1145/3368089.3409741	https://doi.org/10.1145/3368089.3409741	https://doi.org/10.1145/3368089.3409741	https://api.crossref.org/works/10.1145%2F3368089.3409741		matched	200	metadata_only	False	False
P0045	Real-time incident prediction for online service systems	Real-time incident prediction for online service systems	Nengwen Zhao; Junjie Chen; Zhou Wang; Xiao Peng; Gang Wang; Yong Wu; Fang Zhou; Zhen Feng; Xiaohui Nie; Wenchi Zhang; Kaixin Sui; Dan Pei		2020	Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering		10.1145/3368089.3409672	https://doi.org/10.1145/3368089.3409672	https://doi.org/10.1145/3368089.3409672	https://api.crossref.org/works/10.1145%2F3368089.3409672		matched	200	metadata_only	False	False
P0046	How to mitigate the incident? an effective troubleshooting guide recommendation technique for online service systems	How to mitigate the incident? an effective troubleshooting guide recommendation technique for online service systems	Jiajun Jiang; Weihai Lu; Junjie Chen; Qingwei Lin; Pu Zhao; Yu Kang; Hongyu Zhang; Yingfei Xiong; Feng Gao; Zhangwei Xu; Yingnong Dang; Dongmei Zhang		2020	Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering		10.1145/3368089.3417054	https://doi.org/10.1145/3368089.3417054	https://doi.org/10.1145/3368089.3417054	https://api.crossref.org/works/10.1145%2F3368089.3417054		matched	200	metadata_only	False	False
P0047	Understanding and Handling Alert Storm for Online Service Systems	Understanding and handling alert storm for online service systems	Nengwen Zhao; Junjie Chen; Xiao Peng; Honglin Wang; Xinya Wu; Yuanzong Zhang; Zikai Chen; Xiangzhong Zheng; Xiaohui Nie; Gang Wang; Yong Wu; Fang Zhou; Wenchi Zhang; Kaixin Sui; Dan Pei		2020	Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering: Software Engineering in Practice		10.1145/3377813.3381363	https://doi.org/10.1145/3377813.3381363	https://doi.org/10.1145/3377813.3381363	https://api.crossref.org/works/10.1145%2F3377813.3381363		matched	200	metadata_only	False	False
P0048	What bugs cause production cloud incidents?	What bugs cause production cloud incidents?	Haopeng Liu; Shan Lu; Madan Musuvathi; Suman Nath		2019	Proceedings of the Workshop on Hot Topics in Operating Systems		10.1145/3317550.3321438	https://doi.org/10.1145/3317550.3321438	https://doi.org/10.1145/3317550.3321438	https://api.crossref.org/works/10.1145%2F3317550.3321438		matched	200	metadata_only	False	False
P0049	Continuous Incident Triage for Large-Scale Online Service Systems	Continuous Incident Triage for Large-Scale Online Service Systems	Junjie Chen; Xiaoting He; Qingwei Lin; Hongyu Zhang; Dan Hao; Feng Gao; Zhangwei Xu; Yingnong Dang; Dongmei Zhang		2019	2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)		10.1109/ase.2019.00042	https://doi.org/10.1109/ASE.2019.00042	https://doi.org/10.1109/ase.2019.00042	https://api.crossref.org/works/10.1109%2Fase.2019.00042		matched	200	metadata_only	False	False
P0050	An empirical investigation of incident triage for online service systems	An Empirical Investigation of Incident Triage for Online Service Systems	Junjie Chen; Xiaoting He; Qingwei Lin; Yong Xu; Hongyu Zhang; Dan Hao; Feng Gao; Zhangwei Xu; Yingnong Dang; Dongmei Zhang		2019	2019 IEEE/ACM 41st International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP)		10.1109/icse-seip.2019.00020	https://doi.org/10.1109/ICSE-SEIP.2019.00020	https://doi.org/10.1109/icse-seip.2019.00020	https://api.crossref.org/works/10.1109%2Ficse-seip.2019.00020		matched	200	metadata_only	False	False
