incident_id	scenario_family_id	split	split_version
inc_9cb53216929f92e8	fam_085765bd8ead30c1	train	cs221-family-split-20260912-v1
inc_c75fa18cc6e553d8	fam_085765bd8ead30c1	train	cs221-family-split-20260912-v1
inc_440b5aa2334e385c	fam_085765bd8ead30c1	train	cs221-family-split-20260912-v1
inc_77ceaec9d84d6e25	fam_71e9d3c57030acb4	test	cs221-family-split-20260912-v1
inc_1340494405aa1c58	fam_71e9d3c57030acb4	test	cs221-family-split-20260912-v1
inc_792aba678ac59ed6	fam_71e9d3c57030acb4	test	cs221-family-split-20260912-v1
inc_e8c939b906ef2c9e	fam_062ae6ee455edebb	train	cs221-family-split-20260912-v1
inc_ddb222a8702276b2	fam_062ae6ee455edebb	train	cs221-family-split-20260912-v1
inc_e35ff7db68655611	fam_062ae6ee455edebb	train	cs221-family-split-20260912-v1
inc_c34729bda2a676bd	fam_a6529e455169afb6	train	cs221-family-split-20260912-v1
inc_28c54291b6ec0364	fam_a6529e455169afb6	train	cs221-family-split-20260912-v1
inc_44cd59b13484c8ff	fam_a6529e455169afb6	train	cs221-family-split-20260912-v1
inc_08457c0fbff4700e	fam_307bf81221c8ddd8	train	cs221-family-split-20260912-v1
inc_d5425e4d7b13f348	fam_307bf81221c8ddd8	train	cs221-family-split-20260912-v1
inc_2adbb3fd7fbcb7b3	fam_307bf81221c8ddd8	train	cs221-family-split-20260912-v1
inc_cd11a2a781c49c77	fam_572216437b2e07d3	dev	cs221-family-split-20260912-v1
inc_defb07756e152786	fam_572216437b2e07d3	dev	cs221-family-split-20260912-v1
inc_1ceb6e079b0f93ee	fam_572216437b2e07d3	dev	cs221-family-split-20260912-v1
inc_a7c4ff1c43ab561f	fam_104f9252ebe0974e	dev	cs221-family-split-20260912-v1
inc_4c41c0fdada72699	fam_104f9252ebe0974e	dev	cs221-family-split-20260912-v1
inc_defe171a8ac63131	fam_104f9252ebe0974e	dev	cs221-family-split-20260912-v1
inc_9fd3139546e98ac3	fam_8797c16c5aa07851	train	cs221-family-split-20260912-v1
inc_e8eb4aabf3538114	fam_8797c16c5aa07851	train	cs221-family-split-20260912-v1
inc_57f6ede7e94d009b	fam_8797c16c5aa07851	train	cs221-family-split-20260912-v1
inc_c008d0981392ffbc	fam_60dd7f402da2540f	train	cs221-family-split-20260912-v1
inc_66efae16cc927faf	fam_60dd7f402da2540f	train	cs221-family-split-20260912-v1
inc_15361b2d5df6a488	fam_60dd7f402da2540f	train	cs221-family-split-20260912-v1
inc_8130066a520a5fda	fam_e2bf34b66f1baa5d	dev	cs221-family-split-20260912-v1
inc_85da4b2224175866	fam_e2bf34b66f1baa5d	dev	cs221-family-split-20260912-v1
inc_608c758f0e4c3f7c	fam_e2bf34b66f1baa5d	dev	cs221-family-split-20260912-v1
inc_27b7f4b5f15eddcc	fam_85b16c85eeb26a62	dev	cs221-family-split-20260912-v1
inc_4a55280ad595ec8d	fam_85b16c85eeb26a62	dev	cs221-family-split-20260912-v1
inc_b9439b0dc3a8b3c3	fam_85b16c85eeb26a62	dev	cs221-family-split-20260912-v1
inc_992fcfd045820f03	fam_2a575f522598f438	test	cs221-family-split-20260912-v1
inc_485a27d825269561	fam_2a575f522598f438	test	cs221-family-split-20260912-v1
inc_8540cb108d4f274a	fam_2a575f522598f438	test	cs221-family-split-20260912-v1
inc_c7fb3974f7c1745e	fam_083379818e65c447	train	cs221-family-split-20260912-v1
inc_50a3a0186cfb926a	fam_083379818e65c447	train	cs221-family-split-20260912-v1
inc_1c35829e1a5668b7	fam_083379818e65c447	train	cs221-family-split-20260912-v1
inc_4b5a7b23f4b63679	fam_b00d4854653aa0f0	train	cs221-family-split-20260912-v1
inc_fa20fe298b9410ea	fam_b00d4854653aa0f0	train	cs221-family-split-20260912-v1
inc_41b29f4527655ffa	fam_b00d4854653aa0f0	train	cs221-family-split-20260912-v1
inc_a03afc5462052d9f	fam_51325df8355eef54	train	cs221-family-split-20260912-v1
inc_83a340a96d2c2698	fam_51325df8355eef54	train	cs221-family-split-20260912-v1
inc_447fc19738a290b6	fam_51325df8355eef54	train	cs221-family-split-20260912-v1
inc_00f82e5883a2163d	fam_7309889d70bf55f2	test	cs221-family-split-20260912-v1
inc_c9f0d2d384af68cf	fam_7309889d70bf55f2	test	cs221-family-split-20260912-v1
inc_32ac1eca40134b1f	fam_7309889d70bf55f2	test	cs221-family-split-20260912-v1
inc_f9db5049cf8d0a46	fam_f28dd93b7aafb778	train	cs221-family-split-20260912-v1
inc_a5147fba2d0d1f50	fam_f28dd93b7aafb778	train	cs221-family-split-20260912-v1
inc_fdf63d2b6452d14b	fam_f28dd93b7aafb778	train	cs221-family-split-20260912-v1
inc_9f1ea2bb590b03b0	fam_35065494f44f2a71	train	cs221-family-split-20260912-v1
inc_430574ac0b58cf27	fam_35065494f44f2a71	train	cs221-family-split-20260912-v1
inc_0f782051d78bc07a	fam_35065494f44f2a71	train	cs221-family-split-20260912-v1
inc_25067c4b053b5763	fam_a67c52eb2ef0b867	train	cs221-family-split-20260912-v1
inc_a2887d6c9ebacc44	fam_a67c52eb2ef0b867	train	cs221-family-split-20260912-v1
inc_f8708eba53ac81da	fam_a67c52eb2ef0b867	train	cs221-family-split-20260912-v1
inc_bb6f30a02ec2c05c	fam_ff33ff0b27d8b448	dev	cs221-family-split-20260912-v1
inc_90e5302a86a23a8e	fam_ff33ff0b27d8b448	dev	cs221-family-split-20260912-v1
inc_b6893051f6d2b73e	fam_ff33ff0b27d8b448	dev	cs221-family-split-20260912-v1
