path	bytes	sha256	artifact_class	redistribution_status	sensitive_data_status	disposition
01_papers/enriched/canonical-work-candidates.tsv	55	5a3af594d62ec8d819b4a6295bdf8eb97c738e2f8b6d32d3e3123849f58a4835	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/catalog-enriched.jsonl	4463621	3afd1a6c086638d1c1509f4d2cf0e7d04c7f4fc653f5971cb4526a68e9f1b821	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/catalog-enriched.tsv	492901	0c1b06f7cb096ee67db6d65ee2b84c10fb1d5830a97323b16735588394ff8ad6	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/divlog-publication-metadata.json	821	b342f01b40f2844cb93287feda086e6494eae9eb500358d8a46e8b5b2839a019	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/finalize-research.py	18783	0c84aa75883b297720a80381233ba20c8605fdc9deaefe8b8165bf043fd79511	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/freshness-additions.jsonl	17359	f1914ddb8c90206cba06d29adcdf5b226ce04cc883bd3c32fae47fb8de3ecfe1	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/freshness-screening.md	4111	2ad9f4beb9459589d7248fdb20cb79a21ac564651394510e3ab230e7b393c989	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/gap-candidates-evidence.jsonl	3547	ca44ae2a18eaa8e0131b290322762f50946f7c5972e913215854a7742c44126e	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/gap-candidates.bib	2416	57482eff08456fe58695d260bc7de5eb101c065e23bcfab6a28fbbaf95de9bfa	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/gap-candidates.jsonl	4319	433a4c902b0ec4de27d452ba9326df09616069140ef12915f105be2858216c92	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/gap-candidates.tsv	2885	32bbfae5ab071ac0a343d364c8ee78a74fdba6022bf4bad607b91cc77928d005	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/handoff-checksums.json	1683	4b45d8096b9ab7d1c73ea0da153d5c76652318de5f78a70606336573a80c6b2e	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2021.acl-long.477.bib	1820	c9826d68f378d0ab7d1bb7467370fd76ef461b0096e723c1952118ce765bf799	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2021.eacl-main.74.bib	1457	9b182d7c1cadaf57390afebca16b95758c3f1d774174e9b272cc2316860d77aa	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2021.emnlp-main.224.bib	1925	20d23cbdb31f61c09620bd38b5a8786172c6d41ba902590edecda5107f21d358	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2021.emnlp-main.227.bib	1870	4e3607d0ee375d3d3841ac2b7670cb05fbd7952d44f51f6331761f0e9a501c48	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2021.emnlp-main.492.bib	1974	c9a0faf73805f3e423d94574ba06f0e1a6c8e7bfb15436a285d10373f5251184	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2021.findings-acl.191.bib	833	7f0783b170d81ac14135715f1c10bf905b8348b535374bb50e89a0102d7b0bdc	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2021.findings-emnlp.198.bib	2072	a6991c348c41182be9504dba005a9e003a33f34c274b723177bc9d2bca6a12da	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2021.naacl-main.43.bib	1657	bef325cafd27cf704ae3427e9fdae939e5011e13b81c08cd0beac740382ee133	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2021.naacl-main.46.bib	2215	ddb933c082981bcb079745663f432a2f5aa0dc816385e9793c6cda9deceea482	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2021.repl4nlp-1.17.bib	1725	9541e4eb5d3015de3bcfc9c32a0c188a165cfdbe9db7cca09c9d9bc5e7f96e94	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2021.tacl-1.22.bib	1370	9ad62af79831b6281637ff939644aa9f46d5406c4c2cb0867f43cdbfbcdb288f	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2022.acl-long.76.bib	1796	6f35ca5b6a5788f109e141ce4f273b58ebcfd5d85b8efdda1561f017f64c4f63	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2022.coling-1.86.bib	2426	b5be241e7eece1d355628c043bb0850127d89ee824d3dd4e386e6d82f36ea9fb	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2022.emnlp-industry.50.bib	2088	43406999cc18b17b897e3e430a479001c024da0e9e0e4334d2d500522b8997f1	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.acl-long.147.bib	2413	390fa4aff4c7d7f71fe0675156e20a740306b4bd7ccb7ffcbd50d31aaa83aa4f	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.emnlp-demo.4.bib	1729	5dd7fd4e3cda642520a7465467223a52ad66255715bd36903eefcf9257d62d43	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.emnlp-main.151.bib	2163	2fcd70ccc034d732719b77bb7883ae12fed68d07b34ff9ff35bf31ad8839ccbf	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.emnlp-main.322.bib	1938	84ce1a3d9e9f529654b4b7312ce78c3a17708a207f01b36d3b12be22763abca9	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.emnlp-main.398.bib	1987	c8d621efb3725b13a194e23f25e87d334b726d256c34a5d9fe5db944b997d5a6	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.emnlp-main.585.bib	1490	5303323eda2adcb649061df032d34eddb5a2f040e715fde8e40221088016ec48	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.emnlp-main.623.bib	2093	4da1e8622f78c5af482c4b400c53e8165629893c6b7c70088e0f69a24a85c8d1	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.emnlp-main.825.bib	1746	e525feaa74b0eba06aa92966e57b888a2a9f674de7cf9bd9ea83685c39a67925	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.emnlp-main.923.bib	2114	0a9b667e93d093889d4ad98ccf8b3ce09633ed7b8a676ef4ebfcff9d2bf98972	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.findings-acl.167.bib	2045	b09ca91dcdb7fcb6eda8e4bc1ef746f21f56ee1c380eed8a310aaa04abc337c7	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.findings-acl.225.bib	1817	dc3a6c9383df39a23e39771904453790280162a14ebc7de19d4fccb1fa67eee6	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.findings-acl.275.bib	2038	174d6670049178f341cefef733b3119c17a7eb558dfb1ed2cd1c0e7f822afb47	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.findings-acl.528.bib	1734	97a413c915839f15eef8ed7f28af833b147cf0f9bcb013535a4a6ad16a73ae29	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.findings-acl.61.bib	1747	71cd3e43f51f475052a417b6b712506fcc147b8882f0b07304358839fce6145e	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.findings-emnlp.398.bib	1820	52883396fb0431bd0bd8f44e95827e42c074b131c4895a6e5328c13c1346fe2d	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.findings-emnlp.590.bib	1726	612294772611a5a7bcd3153775960163217e4cdbd4e02aeacb09b922a568e894	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.findings-emnlp.655.bib	2203	25c6cd11b4f2c2bdadfa8d4b332892f90b38d190ebc0742220b4c528138db9f3	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.findings-emnlp.691.bib	1842	f443354db8414dcc3afc5f62a95a07f722086985246cd1faaa696a199e229574	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.findings-emnlp.86.bib	2050	31c77d877d55cbdbb684c701574b1f805a6b85f1642c7537c60ae15f1f269232	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.findings-emnlp.90.bib	1715	235eb46d704b1eda549ae258758fea56cf213f4db1139ca37598c3f340c90722	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.findings-emnlp.950.bib	1712	0e78e1d97adc81e093acb439e3870d0a3b0a47b24b70213d6b699be7fbe496c1	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.ijcnlp-main.65.bib	949	af8d18638a3c9c2e451589e8f4c447f41970a560f678c0a1c216b85d1f0499f2	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2023.sigdial-1.34.bib	1927	d919866f0393b3bde6c8a7a04db38263a00b7e57ffbd294868ffb21ea58d4c78	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2024.acl-demos.35.bib	1850	057f57e405a5467ddab72f8ea427b97dd6540ce8f301645be4fb3649d0402154	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2024.acl-long.125.bib	1587	5c8431f758201e4fe6d2d4005fa74d486d8747c5614747fcec678902a4bdf2cb	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2024.acl-long.313.bib	1909	eb495be7e6cec332943275c00d05ad41ed20de28742ecd88d17466b9fcba6e0f	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2024.acl-long.642.bib	1824	b12239f8241aed190a411eb570e25d70c2e0a7d2a771f26cf3b5ec8e43c45fb4	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2024.eacl-short.34.bib	1828	75848c2293d2d4a8f5608eb40da1dbf11c8394657aebec9b1ee361778adcaae4	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2024.emnlp-main.25.bib	2041	e6e72e8578e1ff4994a90af2b23b11b1902f7c0d91b992ad93fb39c77ce89727	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2024.emnlp-main.528.bib	2269	95d686eb930d66e93d8b1923c189539c3b0c3179ef6f6314744dd0e245541ecd	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2024.findings-acl.376.bib	2053	254c4adc2a4c536d404b476953a0ebb7e84584078788f67d3acbf56572bfe9e3	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2024.findings-acl.706.bib	1772	b8e8c108d1d4c6bd7057b085b9c78c4203832608485d6aa8b0a63c26fb3bc709	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2024.findings-eacl.132.bib	2063	caf407971996898e62999c8600b1ca912b9fc8e073bb1f4da82fa8b3762523b5	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2024.findings-naacl.97.bib	2398	d6e6746e366fb99b4dcda0348b938f7962bcbe344a5701c710e6d0a3a408ffa3	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2024.scichat-1.5.bib	1999	f96b03aa90df8375486141a4ef1fba4b659d5943497723c897ecd88574cb90cc	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2025.acl-long.8.bib	2301	9763e4ef99a0548860720299d38a1a1175f3737694bdcc78b65c887b8cdee047	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/2025.findings-emnlp.279.bib	2095	3cf1144b32473f445dc38592037392c491a78c56e3a4f2cde1036924ab82c1cf	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/D13-1160.bib	696	5e3998aaeafefa524fb4131ba7537e45ce37507178e0354747705dd3ccb17d7a	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/D19-1428.bib	1596	90a2aad25d2819fd81f326d6d339f37fc6250b8be45281b2b394a8cba03f57bd	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/official-acl-bibtex/K19-1049.bib	1598	19f368fde3a3e9ccc1445f50311902f28616ede5cb1dfa915fe6e7e051670f81	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/priority-publication-resolution.jsonl	152668	07dbb53ebf51ef886bb019a21189433cc293c5a35324b7b5380cff6805629587	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/priority-publication-unresolved.tsv	8025	e68600ab45ca49c69bc6a6da443a1a62e1e77c25c1e0a61142240fd53b28a829	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/priority-source-index.jsonl	302150	480b6ac1f8fe6afd64064f1818b6fd0079f9857c48161b3d705fb6e91ddce7e7	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/publication-class.tsv	163590	e436b335f672197005baaf5fb41ee021c7247b83388a951781322210d7a72417	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/publication_overlay.py	17915	b13f98718a17919be2c7774c21400c89e9ea1c5ad975bdee8dd70851885f408b	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/q1-recount.md	14637	3f03f2b53381ac198ecbfd17e6a8519fcfb4dbfc063d3a7e134e5b10844fe0a5	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/query-rewriting-publication-metadata.json	1976	3d4acdbe61107e6c49fc8777d7dae3f7a62c7ffe46b7377845dee8c738a7b1b7	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/rank-evidence.jsonl	8242	b5570008389d0e920a7248a84fe4e1be8443c7ece2f50cf1a95aa4d78a415b89	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/reading-extraction-matrix.jsonl	35401	8d379d9f01bba180f4bb97571269a4238b32f70890d1ab44f1db6ac5d80c0987	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/reading-extraction-matrix.tsv	28931	cd97e9a449be336dcd1063995d05daeb3c5770179eaa5066dad1daf92144487e	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/reading-extractions.json	33782	e60530fe227dcc874c7fd573ab107222c61f30abc5dcae40d19db4a08f2b53ce	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/references-freshness.bib	2862	9b4c3f1297e6fed810698ec37976dc5880be3b01dc5926f76e62a36ad270592d	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/references-priority50.bib	31207	5ee6302a14536c405c5dc030ec899168658b6e3b4175c9e66716c7cf4ad6e841	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/references-verified.bib	557024	e3b358af0f4be58c39c974f04954862445b6321707f1800bd23a9671eb5eb52a	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/rescue-acquisition-log.jsonl	134095	5873a6d70c8fb6050930eca1d34b724d2c1e51f84cca7170185a01ac8343e97d	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/rescue-extra-metadata.jsonl	16147	f4af469b22fa94bef23c9309d7118758b7f619fd8cb456c5b71d2892d2adcf55	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/rescue-metadata.jsonl	469873	83070979bb1f15052ccf5531111f47694446250b0dd3f6b8458154e684d645fe	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/rescue-metadata.py	13075	335ae1dc0595c54031f859283cc3e6651707e6a3aa4ea96c720fdb7bf0bedaf9	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/rescue-publication-additions.jsonl	47168	aa29090ec6449f4e2ba7950dc6acc10c9af7929bd333176e671e58ebbc62c102	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/rescue-report.md	2670	c4fc0c7386b19b29e5b557c245a3c9462b79c25de82412073ce7183dc062fb6b	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/rescue-summary.json	959	f956a159128ce7f355dc60f8f712c0b83d08d6e0494956a8c9f2d2b9ab9d70e4	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/research-statistics.json	661	0d803099bbfa3a931e9ae2e7ecfc8e3d4889c78b25af46cd923ea6de84f7dcaf	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/selective-pdf-source-index.jsonl	1575	b4451d3eae769d744dc03d49a3f68453d5ab5db9c78da0ce914aa8dd982da3f3	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/unresolved.tsv	2018	08ee467b310417f12525df68a4efc545acfbdc1ce5e4e886964740af47249950	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/work-relations.tsv	345	59e9205d48c900ef838b19aae032c8f1b12d940ff38ebd247c8227aec6995ed7	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/links.txt	39460	da9e2c73ebb0d0879c6fba22289029693a4d370b805ff4ff588715fedeeb98f4	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/priority_reading.md	21930	2fceb6ffa33cd7f731027df6651a35c14da8d3acd8d60da2887841272cda8080	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/publication-ranking-policy.md	3108	fd90129108ae773aa33aebea54cc9d07dddf569d8c484db5b45bad12be20ac5e	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0001.md	1978	d101ddedd2999ef3e7dd18bd6604628d77d02a8f000a30df5e98cdcc96121c8e	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0003.md	1959	c87665661c71e53281898fb113f56ceec7bf7120914ce415982de5287840878c	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0005.md	2229	e2591f35969fcf6619a0166974862c90a07ec0b518602fe08d50d95caeda7711	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0007.md	2057	3e8e1fa17cc6deb5a3198b38702a2e44e62972819996ae9aafe4c49818da7ecb	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0009.md	2004	e926b0253249338cd4c22fe3cc12e13b556e08b569482caf2fa5461dcd6a0b4f	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0011.md	1946	27f750956825b811e850a5af8bdc2cf1e3f5006d55c19bc489ee0a9d1f32e8b5	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0013.md	1942	2951ab9f58c5e104c02008b3d1e0644591cf7b445a70ddd4cbb0f72d800897a9	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0035.md	1877	a9dfcbef3eb962a20e600fc7e7ddd886e0e147ac3d6b791a2bfb1f7bb0f36858	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0052.md	1874	ffa362d65615bf223ff73c5fe85b4664ed7ed47ef25469d1bcef64704fa0d4f0	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0054.md	1921	8aaead7c8c8a55a3b02a67e216536293241a0bea42366273fd993a159bbe31d2	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0055.md	2386	81a016a41beb6b4f23db3274dc89c8e030c3bcb5f91b8825abca9b1457689842	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0069.md	2101	c3dabc51d858820413611becf5050614fc1abb3b69a1feeb486557df5d1d45a7	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0071.md	2100	4705e4ea26bb92b003e65e44e007ba58029ec3722d6d9f9d83d7af83a80a5c8c	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0075.md	1823	760d12bc3dbbd261a71a2ba35874f1c166dc3faf70c1bf47bf67b32371448ee0	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0107.md	1981	b51210aaca5a88e2fd0bdcf973de2d57ce4217d6a013c185b1dc83daff9ff67e	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0108.md	1888	92331a7478f5eeb931f34ac84c1e2ded709e66f94809ebdffb156e87c8acd7e2	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0109.md	1876	0cb0885ffdbe72da911f46e9645dbd414180036a02e79d63f0506d0846654750	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0111.md	1574	290025bcd380e620a425bf5b7ffe50767b9c3a5c04d421e2664f805bb7e1454b	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0114.md	1829	207c2f3f0325dc006357b74f4482411e8ba88a99df1b5cb0e00b71384de2d65f	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0115.md	1597	934ed41c91cc9cc345451c2c22fabbfb2d46141e75d6eb5bcf136c3f01158db7	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0120.md	1712	c769ad86053f84e66c0a988e0b2ac362a8e737ecb8112b46d718c4488c3fd43c	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0121.md	1749	18b7c1545ab7e31cc7cba8003c2a3229b740be190240aaa5e0ad6905569f53cd	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0199.md	1694	ea0ad819ad42ef39aef2d613f727160f7d656fabb588ac74fee48f4db4a20d82	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0214.md	1801	03196a19929a572866006ef4a2e29ef6de21973477acc800d6f23144aeab5e9e	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0230.md	1646	ad66c9c8aa7cdb4d4e3bdb6afd0d5e7d6badf135267698e0657f7d6b1fafd37b	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0245.md	1680	c2816c4e1821b702ef6d3586d3ca248b50609fe190200f5aa2b9ee768bb14a66	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0291.md	1706	3f2f7682dc2421f13cd59c45aed3919df30de2134cc96e34586f57a9f54ec220	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0325.md	1455	e9e09a0fd8acb0cad8365e413590984f2f663c5a248717b13fd5413625037139	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0331.md	1790	9a4418048d70e79315ec315e9cb49cbd6c1ee09da907bad6088deca5607b5926	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0338.md	1871	47210f4b6d00c1a7017625f0def04e12f680bac12534cf67b9cdbd8cdfd4d159	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0342.md	1700	0b81b18b06cc4c12214973f6f1c1dca0e3fc3a2d7391d898abdb7666d46ba831	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0376.md	1857	4ad0363c5aa5e06705a16154f17039ce33f1b1b03a89037338b8bc1b4569f016	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0410.md	1832	a8036363480150efac1ae3acc26c120a40cf7ea52f3d9a812f4e9aa4d77afa20	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0481.md	1650	fa25f6bb76b48544807daf6609ea7093c575ed1fb4b5165564d779e644728d60	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/reading-notes/P0560.md	1652	4395df0b0d07dc3d5afde5cc6322d27ea5d290d6d22838c85161660896d85ba6	paper-metadata	approved	public_metadata_approved	keep_public
