candidate_id	incident_id	chunk_id	document_id	reviewer_id	grade	reviewed_at	evidence_role	supported_claim	applicability	span_start	span_end	review_state
cand_e1f104af1b7da5ec	inc_0991de462f9a6c05	KBH-D057-b33563055168-C0005	KBH-D057-b33563055168									unjudged
cand_8645635437b9f434	inc_15361b2d5df6a488	KBH-D057-c118fc413f7c-C0002	KBH-D057-c118fc413f7c									unjudged
cand_a3b5944d7d1c88f2	inc_1bd0f85d1967890c	KBH-D057-3265685291bc-C0001	KBH-D057-3265685291bc									unjudged
cand_ab576bb3dcb7806a	inc_0991de462f9a6c05	KBH-D057-f4bcce2e6d7e-C0003	KBH-D057-f4bcce2e6d7e									unjudged
cand_0ff75f9b7024fea9	inc_08457c0fbff4700e	KBH-D057-3265685291bc-C0001	KBH-D057-3265685291bc									unjudged
cand_d86ad7e056114fdc	inc_0991de462f9a6c05	KBH-D057-ccf307e9aff7-C0002	KBH-D057-ccf307e9aff7									unjudged
cand_d7bc9597b18a2b29	inc_08457c0fbff4700e	KBH-D057-ccf307e9aff7-C0002	KBH-D057-ccf307e9aff7									unjudged
cand_08e5a5469c7ff983	inc_08457c0fbff4700e	KBH-D057-b33563055168-C0005	KBH-D057-b33563055168									unjudged
cand_d5671f43a5167391	inc_15361b2d5df6a488	KBH-D057-b33563055168-C0005	KBH-D057-b33563055168									unjudged
cand_6f9191d038c73626	inc_0f782051d78bc07a	KBH-D057-b33563055168-C0005	KBH-D057-b33563055168									unjudged
cand_2e51d5aaa9a45c7e	inc_15361b2d5df6a488	KBH-D057-cb3046b350d8-C0004	KBH-D057-cb3046b350d8									unjudged
cand_e5472c6a5578cf82	inc_08457c0fbff4700e	KBH-D057-cb3046b350d8-C0004	KBH-D057-cb3046b350d8									unjudged
cand_264793191a57279b	inc_0f782051d78bc07a	KBH-D057-c118fc413f7c-C0002	KBH-D057-c118fc413f7c									unjudged
cand_1de432da70cf5f3a	inc_0f782051d78bc07a	KBH-D057-10119f6772e5-C0003	KBH-D057-10119f6772e5									unjudged
cand_604be64d0936f077	inc_1bd0f85d1967890c	KBH-D057-cb3046b350d8-C0002	KBH-D057-cb3046b350d8									unjudged
cand_833a805fd184fed1	inc_0f782051d78bc07a	KBH-D057-cb3046b350d8-C0001	KBH-D057-cb3046b350d8									unjudged
cand_9188c8f243b4db06	inc_0991de462f9a6c05	KBH-D057-3265685291bc-C0001	KBH-D057-3265685291bc									unjudged
cand_f04567ee984459e8	inc_0991de462f9a6c05	KBH-D057-cb3046b350d8-C0002	KBH-D057-cb3046b350d8									unjudged
cand_0ba89ffd1aef95cf	inc_1bd0f85d1967890c	KBH-D057-cb3046b350d8-C0004	KBH-D057-cb3046b350d8									unjudged
cand_6092a6b850d63916	inc_1bd0f85d1967890c	KBH-D057-cb3046b350d8-C0001	KBH-D057-cb3046b350d8									unjudged
cand_76932f9e9dd62b9a	inc_08457c0fbff4700e	KBH-D057-3265685291bc-C0002	KBH-D057-3265685291bc									unjudged
cand_a324ed3e915b3793	inc_08457c0fbff4700e	KBH-D057-c118fc413f7c-C0002	KBH-D057-c118fc413f7c									unjudged
cand_302b99d78e584d24	inc_15361b2d5df6a488	KBH-D057-ccf307e9aff7-C0002	KBH-D057-ccf307e9aff7									unjudged
cand_227fbca951f42322	inc_0f782051d78bc07a	KBH-D057-cb3046b350d8-C0004	KBH-D057-cb3046b350d8									unjudged
cand_ea4cd8b66af08509	inc_1bd0f85d1967890c	KBH-D057-c118fc413f7c-C0002	KBH-D057-c118fc413f7c									unjudged
cand_aa4c69e013e40d0b	inc_0f782051d78bc07a	KBH-D057-10119f6772e5-C0004	KBH-D057-10119f6772e5									unjudged
cand_c5a9036d6592e16e	inc_0991de462f9a6c05	KBH-D057-c118fc413f7c-C0002	KBH-D057-c118fc413f7c									unjudged
cand_10da55b6d9b8de0b	inc_15361b2d5df6a488	KBH-D057-cb3046b350d8-C0001	KBH-D057-cb3046b350d8									unjudged
cand_60f61c1ec72d536b	inc_0991de462f9a6c05	KBH-D057-cb3046b350d8-C0004	KBH-D057-cb3046b350d8									unjudged
cand_e3f6903a941b898f	inc_15361b2d5df6a488	KBH-D057-3265685291bc-C0002	KBH-D057-3265685291bc									unjudged
cand_eaa5e08de3538d23	inc_08457c0fbff4700e	KBH-D057-cb3046b350d8-C0001	KBH-D057-cb3046b350d8									unjudged
cand_3cda4bdd1fb8a98f	inc_0f782051d78bc07a	KBH-D057-cb3046b350d8-C0002	KBH-D057-cb3046b350d8									unjudged
cand_3d6ab0fd3d5f5efb	inc_0991de462f9a6c05	KBH-D057-cb3046b350d8-C0001	KBH-D057-cb3046b350d8									unjudged
