source_id	url	kind	warning
D023	https://github.com/chen700564/RGB	dataset	explicit_data_and_code; public_landing_and_file_or_download_listing; assets_not_tested
D024	https://github.com/yixuantt/MultiHop-RAG	dataset	explicit_dataset_license; public_landing_and_file_or_download_listing; assets_not_tested
D025	https://github.com/IAAR-Shanghai/CRUD_RAG	dataset	not_established; public_landing_and_file_or_download_listing; assets_not_tested
D026	https://github.com/ielab/FeB4RAG	dataset_artifact	repo_only_upstream_terms; public_landing_and_file_or_download_listing; assets_not_tested
D027	https://github.com/IBM/mt-rag-benchmark	dataset_collection	repo_assets_with_upstream_caveat; public_landing_and_file_or_download_listing; assets_not_tested
D028	https://github.com/facebookresearch/CRAG	dataset	explicit_dataset_license; public_landing_and_file_or_download_listing; assets_not_tested
D029	https://github.com/freshllms/freshqa	dataset	repo_assets_with_upstream_caveat; public_repository; external_download_not_tested
D030	https://huggingface.co/datasets/miracl/nomiracl	dataset	explicit_card_with_upstream_caveat; public_files; viewer_disabled_custom_loader
D031	https://github.com/OpenBMB/RAGEval	generation_platform	not_established; public_code_and_example_assets
D032	https://huggingface.co/datasets/PrimeQA/TechQA	dataset	explicit_dataset_card; public_file_listing; viewer_error; binary_not_downloaded
D033	https://huggingface.co/datasets/xlangai/BRIGHT	dataset_collection	explicit_dataset_card; public_landing_and_file_or_download_listing; assets_not_tested
D034	https://github.com/beir-cellar/beir	dataset_collection	heterogeneous_explicit_disclaimer; public_landing_and_file_or_download_listing; assets_not_tested
D035	https://microsoft.github.io/msmarco/	dataset_collection	custom_research_terms; public_landing_and_file_or_download_listing; assets_not_tested
D036	https://huggingface.co/datasets/miracl/miracl	dataset_collection	explicit_card_with_upstream_caveat; public_files; viewer_disabled_custom_loader
D037	https://github.com/unicamp-dl/mMARCO	derived_dataset	upstream_restrictions_apply; public_landing_and_file_or_download_listing; assets_not_tested
D038	https://huggingface.co/datasets/google/frames-benchmark	dataset	explicit_dataset_card; public_landing_and_file_or_download_listing; assets_not_tested
D039	https://github.com/onyx-dot-app/EnterpriseRAG-Bench	dataset_artifact	repo_assets_with_upstream_caveat; public_landing_and_file_or_download_listing; assets_not_tested
D040	https://github.com/stonybrooknlp/musique	dataset	explicit_dataset_license; public_repository; external_download_not_tested
D041	https://hotpotqa.github.io/	dataset	explicit_dataset_license; public_landing_and_file_or_download_listing; assets_not_tested
D042	https://github.com/princeton-nlp/ALCE	dataset_artifact	repo_only_upstream_terms; public_landing_and_file_or_download_listing; assets_not_tested
D043	https://github.com/ParticleMedia/RAGTruth	dataset	repo_assets_with_upstream_caveat; public_landing_and_file_or_download_listing; assets_not_tested
D044	https://github.com/Alibaba-NLP/CDQA	dataset	not_established; public_landing_and_file_or_download_listing; assets_not_tested
D045	https://github.com/facebookresearch/KILT	dataset_collection	repo_only_upstream_terms; public_landing_and_file_or_download_listing; assets_not_tested
D046	https://github.com/swe-bench/SWE-bench	dataset_collection	repo_assets_with_upstream_caveat; public_landing_and_file_or_download_listing; assets_not_tested
D047	https://github.com/google/cluster-data	dataset_collection	explicit_data_terms; public_landing_and_file_or_download_listing; assets_not_tested
D048	https://github.com/alibaba/clusterdata	dataset_collection	not_established; public_landing_and_file_or_download_listing; assets_not_tested
D049	https://github.com/Azure/AzurePublicDataset	dataset_collection	explicit_separate_data_code; public_landing_and_file_or_download_listing; assets_not_tested
D050	https://webscope.sandbox.yahoo.com/catalog.php?datatype=s&did=70	dataset_release_access_unconfirmed	not_established; landing_blocked_in_audit; access_requirements_unconfirmed
D051	https://huggingface.co/datasets/ibm-research/ITBench-Lite	dataset_collection	explicit_dataset_card; public_landing_and_file_or_download_listing; assets_not_tested
D052	https://github.com/itbench-hub/ITBench	generation_platform	code_only; public_platform_repository
D053	https://github.com/microsoft/AIOpsLab	generation_platform	code_only; public_platform_repository
D054	https://github.com/open-telemetry/opentelemetry-demo	generation_platform	code_only; public_demo_repository
D055	https://github.com/delimitrou/DeathStarBench	generation_platform	conflict; public_repository; code_license_conflict
D056	https://github.com/FudanSELab/train-ticket	generation_platform	code_only; public_application_repository
D057	https://github.com/GoogleCloudPlatform/microservices-demo	generation_platform	code_only; public_application_repository
D058	https://kubernetes.io/docs/tasks/debug/	corpus_to_collect	explicit_documentation_license; public_documentation_pages
D059	https://github.com/prometheus-operator/runbooks	corpus_to_collect	repo_assets_license; public_repository_and_runbook_site
D060	https://sre.google/workbook/	corpus_access_unconfirmed	not_established; landing_blocked_in_audit
D061	https://status.cloud.google.com/summary	corpus_to_collect	publisher_terms_review_required; public_history_landing
D062	https://aws.amazon.com/premiumsupport/technology/pes/	corpus_to_collect	publisher_terms_review_required; public_postevent_landing
D063	https://blog.cloudflare.com/tag/post-mortem/	corpus_to_collect	publisher_terms_review_required; public_tag_landing
D064	https://www.githubstatus.com/history	corpus_to_collect	publisher_terms_review_required; public_history_landing
