resource_id	resource_type	url	proposed_priority	gate	current_status	next_action
P0015	paper_metadata_only	https://arxiv.org/abs/2101.05961	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0016	paper_metadata_only	https://www.mdpi.com/2076-3417/10/6/2166	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0017	paper_metadata_only	https://doi.org/10.1145/3445814.3446700	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0018	paper_metadata_only	https://doi.org/10.1145/3368089.3417066	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0019	paper_metadata_only	https://www.usenix.org/conference/osdi20/presentation/qiu	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0020	paper_metadata_only	https://doi.org/10.1145/3338906.3338961	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0021	paper_metadata_only	https://ieeexplore.ieee.org/document/8580420/	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0022	paper_metadata_only	https://arxiv.org/abs/2109.04893	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0023	paper_metadata_only	https://www.usenix.org/conference/nsdi-07/x-trace-pervasive-network-tracing-framework	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0024	paper_metadata_only	https://www.microsoft.com/en-us/research/wp-content/uploads/2006/11/hotnets06.pdf	P1	metadata_only; follow publisher access policy	pdf_readable_title_pending	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0025	paper_metadata_only	https://doi.org/10.1145/3700436	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0026	paper_metadata_only	https://ieeexplore.ieee.org/document/9978953	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0027	paper_metadata_only	https://arxiv.org/abs/2201.02944	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0028	paper_metadata_only	https://doi.org/10.1145/3292500.3330680	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0029	paper_metadata_only	https://doi.org/10.1145/3236024.3236083	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0030	paper_metadata_only	https://doi.org/10.1145/3133956.3134015	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0031	paper_metadata_only	https://doi.org/10.1145/3603269.3604877	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0032	paper_metadata_only	https://doi.org/10.1145/3611643.3616249	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0033	paper_metadata_only	https://www.usenix.org/conference/osdi18/presentation/huang	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0034	paper_metadata_only	https://www.usenix.org/conference/atc23/presentation/dogga	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0035	paper_metadata_only	https://arxiv.org/abs/2302.09520	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0036	paper_metadata_only	https://doi.org/10.1145/3542929.3563482	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0037	paper_metadata_only	https://arxiv.org/abs/2204.09670	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0038	paper_metadata_only	https://www.usenix.org/conference/atc21/presentation/li-liqun	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0039	paper_metadata_only	https://arxiv.org/abs/2108.12179	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0040	paper_metadata_only	https://arxiv.org/abs/2108.00344	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0041	paper_metadata_only	https://doi.org/10.1145/3387514.3405867	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0042	paper_metadata_only	https://doi.org/10.1145/3324884.3416624	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0043	paper_metadata_only	https://doi.org/10.1145/3368089.3409768	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0044	paper_metadata_only	https://doi.org/10.1145/3368089.3409741	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0045	paper_metadata_only	https://doi.org/10.1145/3368089.3409672	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0046	paper_metadata_only	https://doi.org/10.1145/3368089.3417054	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0047	paper_metadata_only	https://doi.org/10.1145/3377813.3381363	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0048	paper_metadata_only	https://doi.org/10.1145/3317550.3321438	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0049	paper_metadata_only	https://doi.org/10.1109/ASE.2019.00042	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0050	paper_metadata_only	https://doi.org/10.1109/ICSE-SEIP.2019.00020	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0051	paper_metadata_only	https://doi.org/10.1145/3308558.3313501	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0052	paper_metadata_only	https://arxiv.org/abs/2406.11213	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0053	paper_metadata_only	https://arxiv.org/abs/2410.04334	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0054	paper_metadata_only	https://arxiv.org/abs/2501.06706	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0055	paper_metadata_only	https://arxiv.org/abs/2502.05352	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0056	paper_metadata_only	https://yinfangchen.github.io/assets/pdf/empirical_study.pdf	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0057	paper_metadata_only	https://www.microsoft.com/en-us/research/uploads/prod/2023/09/LLM4IcMs___HotNets__23-6.pdf	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0058	paper_metadata_only	https://arxiv.org/abs/2407.12165	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0059	paper_metadata_only	https://arxiv.org/abs/2312.01454	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0060	paper_metadata_only	https://www.usenix.org/system/files/nsdi24-wang-haopei.pdf	P1	metadata_only; follow publisher access policy	pdf_readable_title_pending	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0061	paper_metadata_only	https://www.microsoft.com/en-us/research/uploads/prod/2024/10/FLASH_Paper.pdf	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0062	paper_metadata_only	https://www.ndss-symposium.org/ndss-paper/incident-response-planning-using-a-lightweight-large-language-model-with-reduced-hallucination/	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0063	paper_metadata_only	https://arxiv.org/abs/2403.06485	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0064	paper_metadata_only	https://www.microsoft.com/en-us/research/uploads/prod/2024/08/ISSRE24_LLM4triage.pdf	P1	metadata_only; follow publisher access policy	pdf_readable_title_pending	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0065	paper_metadata_only	https://netman.aiops.org/wp-content/uploads/2024/07/MonitorAssistant_CameraReady-v1.5_submitted.pdf	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0066	paper_metadata_only	https://arxiv.org/abs/2405.15370	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0067	paper_metadata_only	https://arxiv.org/abs/2501.14170	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0068	paper_metadata_only	https://doi.org/10.1145/3691620.3695475	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0069	paper_metadata_only	https://arxiv.org/abs/2309.05833	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0070	paper_metadata_only	https://arxiv.org/abs/2404.03662	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0071	paper_metadata_only	https://arxiv.org/abs/2310.16340	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0072	paper_metadata_only	https://arxiv.org/abs/2404.12135	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0073	paper_metadata_only	https://arxiv.org/abs/2407.08694	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0074	paper_metadata_only	https://arxiv.org/abs/2502.08224	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0075	paper_metadata_only	https://openreview.net/forum?id=M4qNIzQYpd	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0076	paper_metadata_only	https://arxiv.org/abs/2504.06614	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0077	paper_metadata_only	https://arxiv.org/abs/2504.18776	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0078	paper_metadata_only	https://arxiv.org/abs/2504.11505	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0079	paper_metadata_only	https://arxiv.org/abs/2503.23051	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0080	paper_metadata_only	https://arxiv.org/abs/2510.15906	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0081	paper_metadata_only	https://www.zhihan-jiang.com/files/ASE25/LogPilot.pdf	P1	metadata_only; follow publisher access policy	pdf_readable_title_pending	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0082	paper_metadata_only	https://arxiv.org/abs/2510.04711	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0083	paper_metadata_only	https://ojs.aaai.org/index.php/AAAI/article/view/36991	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0084	paper_metadata_only	https://arxiv.org/abs/2605.14866	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0085	paper_metadata_only	https://arxiv.org/abs/2601.02732	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0086	paper_metadata_only	https://arxiv.org/abs/2601.22208	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0087	paper_metadata_only	https://doi.org/10.1145/3777911.3801108	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0088	paper_metadata_only	https://doi.org/10.1007/s40747-025-02096-0	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0089	paper_metadata_only	https://ieeexplore.ieee.org/abstract/document/10979844	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0090	paper_metadata_only	https://arxiv.org/abs/2506.10043	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0091	paper_metadata_only	https://arxiv.org/abs/2510.24145	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0092	paper_metadata_only	https://arxiv.org/abs/2603.21250	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0093	paper_metadata_only	https://arxiv.org/abs/2607.11357	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0094	paper_metadata_only	https://netman.aiops.org/wp-content/uploads/2026/01/foundroot_camera_ready.pdf	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0095	paper_metadata_only	https://www.microsoft.com/en-us/research/publication/llexus-an-ai-agent-system-for-incident-management/	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0096	paper_metadata_only	https://doi.org/10.1145/3663529.3663855	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0097	paper_metadata_only	https://arxiv.org/abs/2409.13707	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0098	paper_metadata_only	https://yinfangchen.github.io/assets/pdf/stratus_paper.pdf	P1	metadata_only; follow publisher access policy	pdf_readable_title_pending	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0099	paper_metadata_only	https://doi.org/10.1145/3639477.3639754	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0100	paper_metadata_only	https://arxiv.org/abs/2406.08221	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0101	paper_metadata_only	https://arxiv.org/abs/2309.05557	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0102	paper_metadata_only	https://arxiv.org/abs/2309.09298	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0103	paper_metadata_only	https://ieeexplore.ieee.org/abstract/document/10589781	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0104	paper_metadata_only	https://jun-jie-huang.github.io/assets/papers/ase25_iknow.pdf	P1	metadata_only; follow publisher access policy	pdf_readable_title_pending	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0105	paper_metadata_only	https://www.zhihan-jiang.com/files/DSN25/LLMPrism.pdf	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0106	paper_metadata_only	https://arxiv.org/abs/2306.01590	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0107	paper_metadata_only	https://arxiv.org/abs/2308.10828	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0108	paper_metadata_only	https://arxiv.org/abs/2307.09950	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0109	paper_metadata_only	https://arxiv.org/abs/2404.18001	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0110	paper_metadata_only	https://arxiv.org/abs/2308.07610	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0111	paper_metadata_only	https://arxiv.org/abs/2406.06156	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0112	paper_metadata_only	https://arxiv.org/abs/2402.18205	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0113	paper_metadata_only	https://arxiv.org/abs/2406.03376	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0114	paper_metadata_only	https://arxiv.org/abs/2408.01585	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
